coion,water,count,shell
0,8,0.2919846961336589,0-8
0,7,0.20935150827677695,0-7
0,9,0.1545318798505502,0-9
1,8,0.06375970110036594,1-8
1,9,0.052852171572491495,1-9
1,7,0.04345708444683701,1-7
0,10,0.04247015169284602,0-10
0,6,0.03852882933112876,0-6
1,10,0.025038612141836336,1-10
1,6,0.016444606797018695,1-6
2,8,0.008946481328385852,2-8
2,9,0.00890162074865899,2-9
1,11,0.007472490851646063,1-11
0,11,0.007222553336024968,0-11
2,10,0.005979274412166189,2-10
2,7,0.005581937848871115,2-7
1,5,0.0029287549907394948,1-5
2,6,0.002486557847717558,2-6
2,11,0.0024673318849774734,2-11
0,5,0.0016726587583873263,0-5
1,12,0.0012560962323521683,1-12
3,9,0.0009100289030306525,3-9
0,12,0.0008459423605637052,0-12
3,8,0.0007754471638500631,3-8
3,10,0.0007241779298765052,3-10
2,12,0.0006280481161760841,2-12
2,5,0.0005511442652157473,2-5
3,7,0.0005383269567223579,3-7
3,11,0.0004229711802818526,3-11
1,4,0.00021789424438762103,1-4
3,6,0.00019866828164753682,3-6
1,13,0.00018585097315414737,1-13
3,12,0.00017944231890745262,3-12
2,4,9.612981370042105e-05,2-4
3,5,6.408654246694736e-05,3-5
2,13,6.408654246694736e-05,2-13
0,13,5.767788822025263e-05,0-13
4,10,3.204327123347368e-05,4-10
4,8,3.204327123347368e-05,4-8
4,7,2.5634616986778947e-05,4-7
3,13,2.5634616986778947e-05,3-13
4,9,2.5634616986778947e-05,4-9
4,11,1.2817308493389474e-05,4-11
4,12,1.2817308493389474e-05,4-12
2,14,1.2817308493389474e-05,2-14
4,6,6.408654246694737e-06,4-6
3,14,6.408654246694737e-06,3-14
1,14,6.408654246694737e-06,1-14
0,4,6.408654246694737e-06,0-4
