coion,water,count,shell
0,6,0.48644249194111727,0-6
0,5,0.22688558629573377,0-5
1,5,0.12373829619518198,1-5
1,4,0.10992123763930813,1-4
2,3,0.01456046244849044,2-3
0,7,0.013400496029838694,0-7
2,4,0.00921564480674703,2-4
1,3,0.005017976275161979,1-3
0,4,0.004415562775972674,0-4
1,6,0.0025698703529245894,1-6
2,2,0.002384019379770442,2-2
3,1,0.000461423105762021,3-1
3,2,0.0004037452175417684,3-2
2,5,0.00023712020712770527,2-5
3,3,0.0001730336646607579,3-3
0,8,0.00015380770192067368,0-8
1,7,1.922596274008421e-05,1-7
