coion,water,count,shell
0,7,0.40236494087647806,0-7
0,8,0.3317417064573386,0-8
0,6,0.1310217244568886,0-6
0,9,0.09402264943376415,0-9
0,10,0.01404964875878103,0-10
0,5,0.00959976000599985,0-5
1,7,0.004649883752906177,1-7
1,8,0.004224894377640559,1-8
1,6,0.0035499112522186945,1-6
1,9,0.0017749556261093472,1-9
0,11,0.001024974375640609,0-11
1,5,0.0008749781255468613,1-5
1,10,0.0007249818754531136,1-10
0,4,0.00017499562510937225,0-4
1,4,7.499812504687383e-05,1-4
0,12,7.499812504687383e-05,0-12
1,11,2.499937501562461e-05,1-11
1,12,2.499937501562461e-05,1-12
